Rank,Athlete,Nation,D,E,ND,Total,year,round
1,weng hao,CHN,6.6,8.833,0.0,15.433,2020,qual
2,takaaki sugino,JPN,6.3,8.3,0.0,14.6,2020,qual
3,saeedreza keikha,IRI,6.1,8.4,0.0,14.5,2020,qual
4,vladislav poliashov,RUS,6.0,8.466,0.0,14.466,2020,qual
5,nariman kurbanov,KAZ,6.1,8.333,0.0,14.433,2020,qual
6,thierry pellerin,CAN,6.2,8.233,0.0,14.433,2020,qual
7,kirill prokopev,RUS,6.3,7.966,0.0,14.266,2020,qual
8,filip ude,CRO,5.9,8.266,0.0,14.166,2020,qual
9,antonios tantalidis,GRE,5.9,8.166,0.0,14.066,2020,qual
10,joshua nathan,,6.5,7.533,0.0,14.033,2020,qual
11,andrey likhovitskiy,BLR,5.9,8.033,0.0,13.933,2020,qual
12,francisco barretto,BRA,5.7,7.9,0.0,13.6,2020,qual
13,abdelrahman magdy elgamal,TUR,5.3,8.166,0.0,13.466,2020,qual
14,ivan tikhonov,AZE,5.8,7.466,0.0,13.266,2020,qual
15,alexander myakinin,ISR,5.7,7.466,0.0,13.166,2020,qual
16,oskar kirmes,FIN,5.5,7.566,0.0,13.066,2020,qual
17,saso bertoncelj,SLO,5.7,7.266,0.0,12.966,2020,qual
18,james bacueti,AUS,5.2,7.7,0.0,12.9,2020,qual
19,noe seifert,SUI,6.0,6.833,0.0,12.833,2020,qual
20,levan skhiladze,GEO,4.7,8.033,0.0,12.733,2020,qual
21,ilyas azizov,KAZ,5.4,7.333,0.0,12.733,2020,qual
22,david huddleston,BUL,5.5,7.1,0.0,12.6,2020,qual
23,thierno diallo,ESP,5.5,6.966,0.0,12.466,2020,qual
24,murad agharzayev,AZE,5.3,6.966,0.0,12.266,2020,qual
25,bidzina sitchinava,GEO,5.1,7.066,0.0,12.166,2020,qual
26,ethan dick,NZL,5.2,6.7,0.0,11.9,2020,qual
27,yahor sharamkou,BLR,4.7,7.066,0.0,11.766,2020,qual
28,yordan aleksandrov,BUL,4.5,7.2,0.0,11.7,2020,qual
29,dinh phuong thanh,VIE,4.6,7.033,0.0,11.633,2020,qual
30,ferhat arican,TUR,5.3,6.0,0.0,11.3,2020,qual
31,isaac nuñez,MEX,4.1,6.533,0.0,10.633,2020,qual
32,filip sasnal,POL,4.6,5.6,0.0,10.2,2020,qual
33,julian jato,ARG,3.4,4.7,0.0,8.1,2020,qual
