PostalCode,City,State,Region,Country,CustomerID,CustomerName,Segment,ProductID,ProductName,Manufacturer,SubCategory,Category,OrderID,OrderDate,ShipDate,ShipMode,OrderItemID,Discount,Quantity,Profit,Sales
49201,Jackson,Michigan,Central,United States,C00060,Mick Hernandez,Home Office,L00163,"Ativa D5772 2-Line 5.8GHz Digital Expandable Corded/Cordless Phone System with Answering & Caller ID/Call Waiting, Black/Silver",Ativa,Phones,Technology,CA-2014-127026,2014/1/22,2014/1/28,Standard Class,CA-2014-127026-L00163,0,1,49,165
22153,Springfield,Virginia,South,United States,C00503,Eudokia Martin,Corporate,L00163,"Ativa D5772 2-Line 5.8GHz Digital Expandable Corded/Cordless Phone System with Answering & Caller ID/Call Waiting, Black/Silver",Ativa,Phones,Technology,CA-2012-163237,2012/8/7,2012/8/9,Second Class,CA-2012-163237-L00163,0,3,148,495
72209,Little Rock,Arkansas,South,United States,C00382,Monica Federle,Corporate,L00163,"Ativa D5772 2-Line 5.8GHz Digital Expandable Corded/Cordless Phone System with Answering & Caller ID/Call Waiting, Black/Silver",Ativa,Phones,Technology,US-2014-162670,2014/12/24,2014/12/29,Second Class,US-2014-162670-L00163,0,3,148,495
3301,Concord,New Hampshire,East,United States,C00391,Gary Mitchum,Home Office,L00163,"Ativa D5772 2-Line 5.8GHz Digital Expandable Corded/Cordless Phone System with Answering & Caller ID/Call Waiting, Black/Silver",Ativa,Phones,Technology,CA-2014-151981,2014/8/7,2014/8/13,Standard Class,CA-2014-151981-L00163,0,5,247,825
47362,New Castle,Indiana,Central,United States,C00225,Sarah Foster,Consumer,L00889,I Needs 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,Other,Phones,Technology,CA-2012-153108,2012/3/5,2012/3/9,Standard Class,CA-2012-153108-L00889,0,2,7,24
77036,Houston,Texas,Central,United States,C00484,Mick Brown,Consumer,L00889,I Needs 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,Other,Phones,Technology,CA-2013-112382,2013/5/10,2013/5/14,Standard Class,CA-2013-112382-L00889,0.2,2,2,19
14609,Rochester,New York,East,United States,C00549,Julie Creighton,Corporate,L00889,I Needs 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,Other,Phones,Technology,CA-2014-139913,2014/10/24,2014/10/30,Standard Class,CA-2014-139913-L00889,0,3,10,36
60505,Aurora,Illinois,Central,United States,C00212,Arthur Wiediger,Home Office,L00889,I Needs 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,Other,Phones,Technology,US-2011-103905,2011/7/14,2011/7/20,Standard Class,US-2011-103905-L00889,0.2,4,4,38
98115,Seattle,Washington,West,United States,C00324,Patrick Jones,Corporate,L00889,I Needs 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,Other,Phones,Technology,CA-2011-135993,2011/5/28,2011/6/2,Standard Class,CA-2011-135993-L00889,0.2,6,6,57
10035,New York City,New York,East,United States,C00274,Mark Packer,Home Office,L00889,I Needs 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,Other,Phones,Technology,CA-2012-102281,2012/10/12,2012/10/14,First Class,CA-2012-102281-L00889,0,6,20,72
44256,Medina,Ohio,East,United States,C00544,Liz Carlisle,Consumer,L00889,I Needs 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,Other,Phones,Technology,CA-2011-129147,2011/11/2,2011/11/6,Standard Class,CA-2011-129147-L00889,0.4,7,-10,50
40214,Louisville,Kentucky,South,United States,C00671,Art Foster,Consumer,L00889,I Needs 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,Other,Phones,Technology,CA-2012-114300,2012/10/13,2012/10/17,Standard Class,CA-2012-114300-L00889,0,7,23,84
94110,San Francisco,California,West,United States,C00522,Andy Yotov,Corporate,L00889,I Needs 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,Other,Phones,Technology,CA-2013-139934,2013/12/19,2013/12/21,First Class,CA-2013-139934-L00889,0.2,7,7,67
31907,Columbus,Georgia,South,United States,C00074,Saphhira Shifley,Corporate,L00889,I Needs 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,Other,Phones,Technology,CA-2014-164756,2014/9/19,2014/9/23,Standard Class,CA-2014-164756-L00889,0,8,27,96
19120,Philadelphia,Pennsylvania,East,United States,C00428,Matt Collins,Consumer,L01248,Panasonic KX-TG9541B DECT 6.0 Digital 2-Line Expandable Cordless Phone With Digital Answering System,Panasonic,Phones,Technology,CA-2012-135314,2012/7/9,2012/7/14,Second Class,CA-2012-135314-L01248,0.4,3,40,270
65203,Columbia,Missouri,Central,United States,C00293,Frank Carlisle,Home Office,L01248,Panasonic KX-TG9541B DECT 6.0 Digital 2-Line Expandable Cordless Phone With Digital Answering System,Panasonic,Phones,Technology,CA-2013-147256,2013/10/18,2013/10/22,Second Class,CA-2013-147256-L01248,0,3,220,450
94122,San Francisco,California,West,United States,C00114,Tamara Manning,Consumer,L01248,Panasonic KX-TG9541B DECT 6.0 Digital 2-Line Expandable Cordless Phone With Digital Answering System,Panasonic,Phones,Technology,CA-2014-144589,2014/1/21,2014/1/26,Standard Class,CA-2014-144589-L01248,0.2,3,130,360
43615,Toledo,Ohio,East,United States,C00713,Sally Knutson,Consumer,L01248,Panasonic KX-TG9541B DECT 6.0 Digital 2-Line Expandable Cordless Phone With Digital Answering System,Panasonic,Phones,Technology,CA-2014-119193,2014/12/23,2014/12/25,First Class,CA-2014-119193-L01248,0.4,7,94,630
10011,New York City,New York,East,United States,C00271,Mitch Webber,Consumer,L01248,Panasonic KX-TG9541B DECT 6.0 Digital 2-Line Expandable Cordless Phone With Digital Answering System,Panasonic,Phones,Technology,CA-2011-125997,2011/9/20,2011/9/23,First Class,CA-2011-125997-L01248,0,9,661,1350
48227,Detroit,Michigan,Central,United States,C00521,Ashley Jarboe,Consumer,L00910,"iKross Bluetooth Portable Keyboard + Cell Phone Stand Holder + Brush for Apple iPhone 5S 5C 5, 4S 4",Other,Phones,Technology,US-2012-132836,2012/6/1,2012/6/5,Standard Class,US-2012-132836-L00910,0,2,12,42
90045,Los Angeles,California,West,United States,C00575,Alyssa Tate,Home Office,L00910,"iKross Bluetooth Portable Keyboard + Cell Phone Stand Holder + Brush for Apple iPhone 5S 5C 5, 4S 4",Other,Phones,Technology,CA-2013-100468,2013/11/25,2013/12/2,Standard Class,CA-2013-100468-L00910,0.2,2,3,34
88220,Carlsbad,New Mexico,West,United States,C00387,Jim Mitchum,Corporate,L00910,"iKross Bluetooth Portable Keyboard + Cell Phone Stand Holder + Brush for Apple iPhone 5S 5C 5, 4S 4",Other,Phones,Technology,CA-2014-115931,2014/12/23,2014/12/27,Standard Class,CA-2014-115931-L00910,0.2,4,7,67
48183,Trenton,Michigan,Central,United States,C00149,Joy Smith,Consumer,L00910,"iKross Bluetooth Portable Keyboard + Cell Phone Stand Holder + Brush for Apple iPhone 5S 5C 5, 4S 4",Other,Phones,Technology,CA-2013-160220,2013/10/21,2013/10/27,Standard Class,CA-2013-160220-L00910,0,6,35,126
1841,Lawrence,Massachusetts,East,United States,C00284,Jane Waco,Corporate,L00910,"iKross Bluetooth Portable Keyboard + Cell Phone Stand Holder + Brush for Apple iPhone 5S 5C 5, 4S 4",Other,Phones,Technology,US-2012-115238,2012/4/30,2012/5/4,Standard Class,US-2012-115238-L00910,0,10,59,210
13601,Watertown,New York,East,United States,C00127,Justin MacKendrick,Consumer,L00807,"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter",Holmes,Appliances,Office Supplies,CA-2011-157721,2011/9/2,2011/9/5,First Class,CA-2011-157721-L00807,0,1,9,20
49201,Jackson,Michigan,Central,United States,C00124,Logan Haushalter,Consumer,L00989,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Other,Phones,Technology,CA-2013-133340,2013/12/10,2013/12/14,Standard Class,CA-2013-133340-L00989,0,1,3,11
75220,Dallas,Texas,Central,United States,C00486,Michael Nguyen,Consumer,L00807,"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter",Holmes,Appliances,Office Supplies,CA-2011-122567,2011/2/17,2011/2/22,Standard Class,CA-2011-122567-L00807,0.8,2,-14,8
19901,Dover,Delaware,East,United States,C00241,Lena Hernandez,Consumer,L00989,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Other,Phones,Technology,CA-2013-169194,2013/6/21,2013/6/26,Standard Class,CA-2013-169194-L00989,0,2,6,22
24153,Salem,Virginia,South,United States,C00094,Katherine Murray,Home Office,L00989,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Other,Phones,Technology,CA-2013-159212,2013/11/2,2013/11/6,Standard Class,CA-2013-159212-L00989,0,2,6,22
10024,New York City,New York,East,United States,C00410,Toby Braunhardt,Consumer,L00807,"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter",Holmes,Appliances,Office Supplies,CA-2011-130624,2011/6/21,2011/6/24,First Class,CA-2011-130624-L00807,0,3,27,60
95123,San Jose,California,West,United States,C00020,Keith Dawkins,Corporate,L00807,"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter",Holmes,Appliances,Office Supplies,US-2013-113985,2013/12/3,2013/12/8,Standard Class,US-2013-113985-L00807,0,3,27,60
10011,New York City,New York,East,United States,C00775,Fred Wasserman,Corporate,L00989,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Other,Phones,Technology,CA-2013-139409,2013/9/6,2013/9/8,First Class,CA-2013-139409-L00989,0,4,12,44
14215,Buffalo,New York,East,United States,C00037,Stefania Perrino,Corporate,L00989,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Other,Phones,Technology,CA-2014-112844,2014/11/14,2014/11/17,Second Class,CA-2014-112844-L00989,0,4,12,44
98031,Kent,Washington,West,United States,C00157,Arianne Irving,Consumer,L00989,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Other,Phones,Technology,CA-2011-159709,2011/5/10,2011/5/15,Standard Class,CA-2011-159709-L00989,0.2,5,4,44
32216,Jacksonville,Florida,South,United States,C00170,Michael Kennedy,Corporate,L00989,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Other,Phones,Technology,US-2013-148901,2013/5/15,2013/5/20,Standard Class,US-2013-148901-L00989,0.2,5,4,44
19134,Philadelphia,Pennsylvania,East,United States,C00093,Marina Lichtenstein,Corporate,L00989,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Other,Phones,Technology,CA-2014-156363,2014/10/23,2014/10/29,Standard Class,CA-2014-156363-L00989,0.4,5,-7,33
23223,Richmond,Virginia,South,United States,C00012,Lena Cacioppo,Consumer,L00176,"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll",Avery,Labels,Office Supplies,CA-2014-113705,2014/3/28,2014/3/30,Second Class,CA-2014-113705-L00176,0,2,4,8
